Filename	attribute_ExperimentalGroup	attribute_BiologicalGroup	attribute_TechnicalGroup	attribute_DataType	attribute_SampleType	attribute_Species	Level2	Level3	ms_batch	digestion_batch	other_batch	Date	Time	Order
/hpc/home/vaneykjlab/Proepic_training_2023/data/220125_BreastMilk_Round2Plate2_012_QC_209_NorthStarPool_P-2_4D_R_centroid.mzML	Northstar	QC_P2	1	DIA	Breastmilk	Human	Northstar_QC_P2	Northstar_QC_P2_1	1	2		2023-04-18	12:04:00	1
/hpc/home/vaneykjlab/Proepic_training_2023/data/220125_BreastMilk_Round2Plate2_018_QC_95_VITALPool_P-2_5B_R_centroid.mzML	Vital	QC_P2	1	DIA	Breastmilk	Human	Vital_QC_P2	Vital_QC_P2_1	1	2		2023-04-18	12:04:09	2
/hpc/home/vaneykjlab/Proepic_training_2023/data/220125_BreastMilk_Round2_029_QC_207_NorthStar_Pool_P-1_5E_L_centroid.mzML	Northstar	QC_P1	1	DIA	Breastmilk	Human	Northstar_QC_P1	Northstar_QC_P1_1	1	1		2023-04-18	12:04:10	3
/hpc/home/vaneykjlab/Proepic_training_2023/data/220125_BreastMilk_Round2_005_VITAL_31_A20007-LW_P-1_2E_L_centroid.mzML	Individual	Vital_31	1	DIA	Breastmilk	Human	Individual_Vital_31	Individual_Vital_31_1	1	1		2023-04-18	12:04:11	4
/hpc/home/vaneykjlab/Proepic_training_2023/data/220125_BreastMilk_Round2Plate2_051_QC_210_NorthStar_Pool_P-2_9C_L_centroid.mzML	Northstar	QC_P2	2	DIA	Breastmilk	Human	Northstar_QC_P2	Northstar_QC_P2_2	1	2		2023-04-18	12:04:11	5
/hpc/home/vaneykjlab/Proepic_training_2023/data/220125_BreastMilk_Round2_003_VITAL_29_A20031-LW_P-1_2C_L_centroid.mzML	Individual	Vital_29	1	DIA	Breastmilk	Human	Individual_Vital_29	Individual_Vital_29_1	1	1		2023-04-18	12:04:11	6
/hpc/home/vaneykjlab/Proepic_training_2023/data/220125_BreastMilk_Round2Plate2_070_QC_96_VITAL_Pool_P-2_11F_R_centroid.mzML	Vital	QC_P2	2	DIA	Breastmilk	Human	Vital_QC_P2	Vital_QC_P2_2	1	2		2023-04-18	12:04:12	7
/hpc/home/vaneykjlab/Proepic_training_2023/data/220125_BreastMilk_Round2_051_QC_94_VITAL_Pool_P-1_8C_L_centroid.mzML	Vital	QC_P1	2	DIA	Breastmilk	Human	Vital_QC_P1	Vital_QC_P1_2	1	1		2023-04-18	12:04:12	8
/hpc/home/vaneykjlab/Proepic_training_2023/data/220125_BreastMilk_Round2_006_VITAL_32_A20056-LW_P-1_2F_R_centroid.mzML	Individual	Vital_32	1	DIA	Breastmilk	Human	Individual_Vital_32	Individual_Vital_32_1	1	1		2023-04-18	12:04:14	9
/hpc/home/vaneykjlab/Proepic_training_2023/data/220125_BreastMilk_Round2_001_VITAL_28_A20014-LW_P-1_2A_L_20220125195444_centroid.mzML	Individual	Vital_28	1	DIA	Breastmilk	Human	Individual_Vital_28	Individual_Vital_28_1	1	1		2023-04-18	12:04:14	10
/hpc/home/vaneykjlab/Proepic_training_2023/data/220125_BreastMilk_Round2_016_QC_93_VITAL_Pool_P-1_3H_R_centroid.mzML	Vital	QC_P1	1	DIA	Breastmilk	Human	Vital_QC_P1	Vital_QC_P1_1	1	1		2023-04-18	12:04:15	11
/hpc/home/vaneykjlab/Proepic_training_2023/data/220125_BreastMilk_Round2_004_VITAL_30_A20038-LW_P-1_2D_R_centroid.mzML	Individual	Vital_30	1	DIA	Breastmilk	Human	Individual_Vital_30	Individual_Vital_30_1	1	1		2023-04-18	12:04:15	12
/hpc/home/vaneykjlab/Proepic_training_2023/data/220125_BreastMilk_Round2_065_QC_208_NorthStar_Pool_P-1_10A_L_centroid.mzML	Northstar	QC_P1	2	DIA	Breastmilk	Human	Northstar_QC_P1	Northstar_QC_P1_2	1	1		2024-04-09	15:04:57	13
