Protein	Label2	log2FC	FDR	Imputed.FDR
A0A075B6I0	northstar-vital	-0.149103704274879	0.634551846815536	0.7516180156200799
A0A075B6J9	northstar-vital	0.20751302765995	0.71908450253261	0.8141938756130749
A0A075B6Q5	northstar-vital	0.0261236527131099	0.934830519334549	0.9620751246339171
A0A075B6R2	northstar-vital	-0.554774262678672	0.244685258289478	0.454760430702484
A0A0A0MS15	northstar-vital	-0.357851823445085	0.274311146590612	0.48384443753786
A0A0B4J1U7	northstar-vital	0.49156749568723795	0.18345697502680602	0.38474242199054703
A0A0B4J1V0	northstar-vital	-0.345757845088185	0.10462298618795801	0.301293220276029
A0A0B4J1V2	northstar-vital	0.269646865033215	0.10331418985059401	0.299346242387618
A0A0B4J1X5	northstar-vital	-0.559545598995672	0.268032580204858	0.48228792298008
A0A0B4J1Y8	northstar-vital	0.62516249445202	0.17579818394940697	0.377393142101126
A0A0B4J1Y9	northstar-vital	-1.2234793893287	0.27385490863825696	0.48384443753786
A0A0C4DH24	northstar-vital	0.187475056326853	0.619111809351408	0.7364172048074642
A0A0C4DH25	northstar-vital	0.0888113549775369	0.7094095980888641	0.8064716758957909
A0A0C4DH29	northstar-vital	0.812886289726655	0.0241203808719317	0.156643852788982
A0A0C4DH31	northstar-vital	0.808542234549779	0.19480405583893898	0.4002337874509121
A0A0C4DH34	northstar-vital	0.8542926126274609	0.5468122881292871	0.680910325221245
A0A0C4DH36	northstar-vital	0.128437136739841	0.142188930134898	0.34207975164963106
A0A0C4DH38	northstar-vital	0.50600600679261	0.0120519363273581	0.106396000389958
A0A0C4DH43	northstar-vital	0.0685987888228361	0.913686750586491	0.947636625342606
A0A0J9YX35	northstar-vital	0.0113225296821789	0.9816453062304381	0.983722153041426
A0M8Q6	northstar-vital	-1.54677513424329	0.318426294823539	0.509662483216146
B2RUZ4	northstar-vital	0.25492009131792004	0.773820041428924	0.8473029523398109
B9A064	northstar-vital	-0.188341263147798	0.592621655553273	0.71545135766581
O00116	northstar-vital	-0.45362845587308703	0.34631183285085904	0.530260665476247
O00264	northstar-vital	0.00781073473948345	0.979107059603163	0.983722153041426
O00299	northstar-vital	-0.0985002542927447	0.669753572648456	0.780228388755417
O00300	northstar-vital	0.26806321941282	0.5205457211461121	0.665403467075912
O00303	northstar-vital	-1.10515406849704	0.007662392574993241	0.0904064631291463
O00391	northstar-vital	0.64467854385077	0.277697572809219	0.4842565698679289
O00487	northstar-vital	0.32565493363532	0.0285150448325582	0.165994810328493
O00584	northstar-vital	0.265095273252811	0.163747045390815	0.36125619861022296
O14498	northstar-vital	-0.719311479643057	0.12282420589525901	0.318328790508354
O14672	northstar-vital	0.7857945077478791	0.114785248020582	0.308770293469525
O14745	northstar-vital	-0.43655130692116706	0.36538927943496396	0.5505776714582651
O15143	northstar-vital	-1.36416543852076	0.0032916651355179303	0.0596048323595895
O15144	northstar-vital	-0.863460887520095	0.0172297200301781	0.13643034955340302
O15145	northstar-vital	-1.5789191879050402	0.0328277061582249	0.16667998509190698
O43175	northstar-vital	-0.178233176009293	0.3811550958532511	0.563750338107556
O43242	northstar-vital	-0.6925135325084449	0.534690501943476	0.6724965846529279
O43488	northstar-vital	-0.269327378258005	0.667287560504084	0.7789617183570409
O43633	northstar-vital	-0.0199817053195569	0.971508403062381	0.9798951484220999
O43707	northstar-vital	-0.18112869615603197	0.6797348929756429	0.7853787618225742
O43776	northstar-vital	-1.13510861661654	0.0676805794945654	0.234598327695886
O60266	northstar-vital	-1.11429733512268	0.0696602654363401	0.237096686575495
O60543	northstar-vital	0.7702250565646089	0.275748511304763	0.48384443753786
O60568	northstar-vital	-0.281338625211958	0.26692011183114106	0.48228792298008
O60603	northstar-vital	-0.28381250510147304	0.538453856886647	0.674559709846908
O60613	northstar-vital	0.6003445434986371	0.10856573412505999	0.302165713205216
O75083	northstar-vital	-1.1284347921013602	0.0780595282699426	0.259433138073633
O75131	northstar-vital	-0.353484156800042	0.33507544497007596	0.520103369253003
O75223	northstar-vital	-0.129385240768702	0.816425773640956	0.8812620118805591
O75396	northstar-vital	-0.274327819339199	0.42300806398463703	0.600501397365125
O75874	northstar-vital	-0.48202300633749606	0.295913339038038	0.498743916398739
O75915	northstar-vital	-0.31210029161325803	0.45060397536390995	0.61347288212195
O94832	northstar-vital	-0.683113957849246	0.261066459780102	0.47735453001863204
O94905	northstar-vital	-0.354843273989023	0.286365172542737	0.49104417726539
O95164	northstar-vital	0.250729297825953	0.367660730470955	0.551930798998968
O95336	northstar-vital	-0.7158781099032271	0.0304911331927444	0.165994810328493
