Protein	Individual_Vital_28_1	Individual_Vital_29_1	Individual_Vital_30_1	Individual_Vital_31_1	Individual_Vital_32_1	Northstar_QC_P1_1	Northstar_QC_P1_2	Northstar_QC_P2_1	Northstar_QC_P2_2	Vital_QC_P1_1	Vital_QC_P1_2	Vital_QC_P2_1	Vital_QC_P2_2
A0A075B6I0	3280029.000000079	2033406.8750000112	2513118.4999999693	1956647.500000051	1423801.9744938423	2361118.0195227535	1449290.7555854106		2124174.995436912	2538140.1584503837	2267995.1012211433	1634475.471200777	2262667.0000000317
A0A075B6J9	1927655.3370861611	281909.2159281091	1002135.1400141084	527770.5937935008	633649.8104825991	1330971.1303388828	678806.270128892			755319.1454234192	897116.1933216414		
A0A075B6K5	832356.9999999845		966771.9375000302		697919.4999999942					179157.40619999685			
A0A075B6Q5	2052571.2500000547	1261549.875000029	2043555.0000000268	1331389.0000000342	1782352.6250000298	2336391.999999927				2351744.999999975	2484720.7499999506	1197861.5000000156	1679774.9999999867
A0A075B6R2	365404.2500000089		262619.46880000865	281071.8437999953	681926.1249999899	188036.96879999738			522019.15619999956	407395.7499999967	333401.0624999943		544074.5624999983
A0A087WSY6	10376367.999999693	2900554.2500000587	7704735.999999906		21947372.000000667						2495883.000000084		1805652.62499999
A0A0A0MS15	1864666.8744412786	1009913.4152747764	1874433.0000000594	1778357.7499999595	3536535.621562823	2104898.828500857	1694110.499999952	797777.665299972	1323152.9211476205	2364167.8940811674	2581625.7992342385	898838.0625000085	1850582.0396148649
A0A0B4J1U7	1038416.7386512931	392752.2618321678	1050093.0377247445	757679.2218179798	748552.4698720877	1521388.569637467	922238.1668513233		1015653.3722908789	1172543.6418248657	732302.2834024323	581125.4174350469	721447.1390109555
A0A0B4J1V0	1504148.0986436112	535424.2043795701	2762851.7499999255	1307871.5000000158	1299394.2649264992	1326940.3408721613	1045359.3120000233		807153.2308781989	1389921.3429535173	1547516.1339162074	904288.8054790845	1245371.125000022
A0A0B4J1V2	2185856.897060005		2188088.67199154	832730.0259551452		1340947.5305160827			806401.5097636714	1008395.6125714112	1052846.7105213732		739724.6158356854
A0A0B4J1V6					905396.375000023	567931.5000000125	310989.9375000051						
A0A0B4J1X5	1077719.5962204689	434286.74480898905	824209.9647397744	1146028.124999961	1093875.5468968153	667472.8410370633	318259.98468709807	262341.9475967148	527335.6144720017	914337.0160744283	904399.4375000221	258503.8842577251	648629.7385310798
A0A0B4J1Y8	484068.92990201636		520158.2067223005	866092.2576994417		692738.9446811399	469315.6770854641	375375.57619182416	598060.4864245995		282341.96297228534	402218.5885540072	
A0A0B4J1Y9	5681867.500000124		2315976.49999994	3399017.499999929	2974126.7499999395	1530421.3749999925	2398509.2500000014			4473837.500000147			
A0A0C4DH24	249856.87499999438		375567.90620001033	538763.4374999942		761475.999999987	746064.6875000121	391985.37499999884	347117.5625000065	408173.3437999972	396226.93750000244	642721.249999983	442206.781199998
A0A0C4DH25	9884885.000000337	2594335.2499999404	8167556.999999857	3679446.2500000494	4561851.0000001	7465451.500000035	4755879.500000029	6678555.500000198	6363996.000000087	7104281.999999973	6429346.499999785	4294388.500000075	6014111.499999789
A0A0C4DH29	1774364.0000000386								1204651.9999999823	1239647.375000037	1113947.9999999937	649414.5000000146	717051.7500000125
A0A0C4DH31	1737182.302851145	890616.4848403162	784169.4763185481	964012.2393006076	515368.63874946523	1512853.5842794257	1154316.805838155		1011962.8098213193	1147266.7240040882	1255830.8698807012	190609.7684072088	557052.5238040665
A0A0C4DH34	253799.9065598613	1733877.8859473248	4769115.366322809	1502954.748888044	2611308.721904302	2813088.3814178654	2488494.438825725	375626.88167999254	2304565.4405578515	2464549.052649448	2612794.716161015	40955.98092098861	2150972.548793302
A0A0C4DH36	6353442.999999972	4655004.000000005	4832191.999999865	3222413.2499999367		6752095.999999904			4798065.999999906	6461986.00000015	6387954.499999989	3995738.9999998957	4456880.499999926
A0A0C4DH38	4197779.840730819	2217257.947059307	3468748.574196374	2471987.064526282	3217660.979568451	4563462.1060763765		2729363.6790016945	2947359.608385156	2874187.440027248	2784583.579484148	2405522.472535774	1944589.6107591407
A0A0C4DH43	8055167.99999993	13001699.000000322	23607403.999999683		8411177.00000028	15287064.000000026			8070309.999999885	17964618.000000205	15277697.00000031	3752798.999999946	12217890.999999953
A0A0J9YX35	9392817.00000003	6153182.50000019	5250965.999999958	9173741.000000197	8263455.00000013	8117383.999999998	3107180.7499999315		6558355.999999861	7452491.000000261	8096019.499999836	2586760.249999978	5638201.499999932
A0M8Q6	3139483.750000015	7670167.499999816	2365451.999999925	4499956.9999999795	3102585.500000104				2807834.249999998	6311866.999999965	10661947.000000264		
