ProteinIds	Gene Name	Protein Description	Tissue Specificity	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Subcellular Location[CC]	Protein	Individual_Vital_28_1	Individual_Vital_29_1	Individual_Vital_30_1	Individual_Vital_31_1	Individual_Vital_32_1	Northstar_QC_P1_1	Northstar_QC_P1_2	Northstar_QC_P2_1	Northstar_QC_P2_2	Vital_QC_P1_1	Vital_QC_P1_2	Vital_QC_P2_1	Vital_QC_P2_2
A0A075B6I0	IGLV8-61	Immunoglobulin lambda variable 8-61		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]		SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A075B6I0	3280029.000000079	2033406.8750000112	2513118.4999999693	1956647.500000051	1423801.9744938423	2361118.019522753	1449290.7555854106		2124174.995436912	2538140.158450384	2267995.1012211437	1634475.471200777	2262667.000000032
A0A075B6J9	IGLV2-18	Immunoglobulin lambda variable 2-18		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]		SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A075B6J9	1927655.337086161	281909.2159281091	1002135.1400141084	527770.5937935008	633649.8104825991	1330971.1303388828	678806.270128892			755319.1454234192	897116.1933216414		
A0A075B6K5	IGLV3-9	Immunoglobulin lambda variable 3-9		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]		SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A075B6K5	832356.9999999845		966771.9375000302		697919.4999999942					179157.40619999685			
A0A075B6Q5	IGHV3-64	Immunoglobulin heavy variable 3-64		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A075B6Q5	2052571.2500000547	1261549.875000029	2043555.0000000268	1331389.0000000342	1782352.6250000298	2336391.999999927				2351744.999999975	2484720.74999995	1197861.5000000156	1679774.9999999867
A0A075B6R2	IGHV4-4	Immunoglobulin heavy variable 4-4		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A075B6R2	365404.2500000089		262619.46880000865	281071.8437999953	681926.1249999899	188036.96879999735			522019.1561999996	407395.7499999967	333401.0624999943		544074.5624999983
A0A087WSY6	IGKV3D-15	Immunoglobulin kappa variable 3D-15		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]		SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A087WSY6	10376367.999999693	2900554.2500000587	7704735.999999906		21947372.000000667						2495883.000000084		1805652.62499999
A0A0A0MS15	IGHV3-49	Immunoglobulin heavy variable 3-49		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0A0MS15	1864666.8744412784	1009913.4152747764	1874433.0000000596	1778357.7499999595	3536535.621562823	2104898.828500857	1694110.499999952	797777.665299972	1323152.9211476203	2364167.8940811674	2581625.7992342385	898838.0625000085	1850582.0396148649
A0A0B4J1U7	IGHV6-1	Immunoglobulin heavy variable 6-1		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0B4J1U7	1038416.7386512932	392752.2618321678	1050093.0377247443	757679.2218179798	748552.4698720877	1521388.569637467	922238.1668513232		1015653.3722908788	1172543.6418248657	732302.2834024323	581125.4174350469	721447.1390109555
A0A0B4J1V0	IGHV3-15	Immunoglobulin heavy variable 3-15		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0B4J1V0	1504148.0986436112	535424.2043795701	2762851.749999925	1307871.5000000158	1299394.2649264992	1326940.340872161	1045359.3120000232		807153.2308781989	1389921.342953517	1547516.1339162074	904288.8054790844	1245371.125000022
A0A0B4J1V2	IGHV2-26	Immunoglobulin heavy variable 2-26		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0B4J1V2	2185856.897060005		2188088.67199154	832730.0259551452		1340947.530516083			806401.5097636714	1008395.6125714112	1052846.7105213732		739724.6158356854
A0A0B4J1V6	IGHV3-73	Immunoglobulin heavy variable 3-73		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0B4J1V6					905396.375000023	567931.5000000125	310989.9375000051						
A0A0B4J1X5	IGHV3-74	Immunoglobulin heavy variable 3-74		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0B4J1X5	1077719.5962204689	434286.74480898905	824209.9647397744	1146028.124999961	1093875.5468968153	667472.8410370633	318259.98468709807	262341.9475967148	527335.6144720017	914337.0160744285	904399.437500022	258503.8842577251	648629.7385310798
A0A0B4J1Y8	IGLV9-49	Immunoglobulin lambda variable 9-49		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]		SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0B4J1Y8	484068.9299020164		520158.2067223005	866092.2576994417		692738.9446811399	469315.6770854641	375375.57619182416	598060.4864245995		282341.96297228534	402218.5885540072	
A0A0B4J1Y9	IGHV3-72	Immunoglobulin heavy variable 3-72		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0B4J1Y9	5681867.500000124		2315976.49999994	3399017.499999929	2974126.7499999395	1530421.3749999923	2398509.2500000014			4473837.500000147			
A0A0C4DH24	IGKV6-21	Immunoglobulin kappa variable 6-21		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]		SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0C4DH24	249856.8749999944		375567.90620001033	538763.4374999942		761475.999999987	746064.6875000121	391985.3749999989	347117.5625000065	408173.3437999972	396226.9375000024	642721.249999983	442206.781199998
A0A0C4DH25	IGKV3D-20	Immunoglobulin kappa variable 3D-20		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]		SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0C4DH25	9884885.000000335	2594335.2499999404	8167556.999999857	3679446.25000005	4561851.0000001	7465451.500000035	4755879.500000029	6678555.500000198	6363996.000000087	7104281.999999973	6429346.499999785	4294388.500000075	6014111.499999789
A0A0C4DH29	IGHV1-3	Immunoglobulin heavy variable 1-3		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0C4DH29	1774364.0000000386								1204651.9999999823	1239647.375000037	1113947.9999999937	649414.5000000146	717051.7500000125
A0A0C4DH31	IGHV1-18	Immunoglobulin heavy variable 1-18		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0C4DH31	1737182.302851145	890616.4848403162	784169.4763185481	964012.2393006076	515368.6387494652	1512853.5842794257	1154316.805838155		1011962.8098213192	1147266.7240040882	1255830.8698807012	190609.7684072088	557052.5238040665
A0A0C4DH34	IGHV4-28	Immunoglobulin heavy variable 4-28		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0C4DH34	253799.9065598613	1733877.8859473248	4769115.366322809	1502954.748888044	2611308.721904302	2813088.3814178654	2488494.438825725	375626.8816799925	2304565.4405578515	2464549.052649448	2612794.716161015	40955.98092098861	2150972.548793302
A0A0C4DH36	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0C4DH36	6353442.999999972	4655004.000000005	4832191.999999865	3222413.2499999367		6752095.999999904			4798065.999999906	6461986.00000015	6387954.499999989	3995738.999999896	4456880.499999926
A0A0C4DH38	IGHV5-51	Immunoglobulin heavy variable 5-51		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0C4DH38	4197779.840730819	2217257.947059307	3468748.574196374	2471987.064526282	3217660.979568451	4563462.1060763765		2729363.6790016945	2947359.608385156	2874187.440027248	2784583.579484148	2405522.472535774	1944589.6107591407
A0A0C4DH43	IGHV2-70D	Immunoglobulin heavy variable 2-70D		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0C4DH43	8055167.99999993	13001699.000000322	23607403.999999683		8411177.00000028	15287064.000000026			8070309.999999885	17964618.000000205	15277697.00000031	3752798.999999946	12217890.999999952
A0A0J9YX35	IGHV3-64D	Immunoglobulin heavy variable 3-64D		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0J9YX35	9392817.00000003	6153182.50000019	5250965.999999958	9173741.000000196	8263455.00000013	8117383.999999998	3107180.7499999315		6558355.999999861	7452491.000000261	8096019.499999836	2586760.249999978	5638201.499999932
A0M8Q6	IGLC7	Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region)		adaptive immune response [GO:0002250]; B cell receptor signaling pathway [GO:0050853]; immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; extracellular space [GO:0005615]; IgA immunoglobulin complex [GO:0071745]; IgD immunoglobulin complex [GO:0071738]; IgE immunoglobulin complex [GO:0071742]; IgG immunoglobulin complex [GO:0071735]; IgM immunoglobulin complex [GO:0071753]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0M8Q6	3139483.750000015	7670167.499999816	2365451.999999925	4499956.99999998	3102585.500000104				2807834.249999998	6311866.999999965	10661947.000000264		
B2RUZ4	SMIM1	Small integral membrane protein 1 (Vel blood group antigen)	TISSUE SPECIFICITY: Highly expressed in the bone marrow and expressed at lower levels in non-hematopoietic tissues. Highly expressed in erythroleukemia cell lines. Up-regulated in CD34+ hematopoietic progenitors cultured toward red blood cells. {ECO:0000269|PubMed:23563606}.		cell surface [GO:0009986]; plasma membrane [GO:0005886]	protein homodimerization activity [GO:0042803]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26452714}; Single-pass type II membrane protein {ECO:0000269|PubMed:26452714}.	B2RUZ4		869951.3749999775	269990.9999999982			1184793.1249999923			698159.750000016	426661.1250000135	1212235.0000000354		856072.0624999985
B9A064	IGLL5	Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1)	TISSUE SPECIFICITY: Contrary to IGLL1, not expressed in pre-B-cells. {ECO:0000269|PubMed:1703205, ECO:0000269|PubMed:1900243}.	immunoglobulin mediated immune response [GO:0016064]	extracellular exosome [GO:0070062]; IgG immunoglobulin complex [GO:0071735]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	B9A064	28596474.033248115	24308860.144174203	13015306.856434362	35051432.73319558	13293648.36228434	19065311.21402193	39379891.14147863	19423111.81282794	16961525.189514507	27806508.94453105	27673789.554402944	17320712.990593337	31282880.36679081
