ProteinIds	Gene Name	Protein Description	Tissue Specificity	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Subcellular Location[CC]	Protein	log2FC	Label2	Imputed.FDR
A0A075B6I0	IGLV8-61	Immunoglobulin lambda variable 8-61		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]		SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A075B6I0	-0.149103704274879	northstar-vital	0.7516180156200799
A0A075B6J9	IGLV2-18	Immunoglobulin lambda variable 2-18		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]		SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A075B6J9	0.20751302765995	northstar-vital	0.8141938756130749
A0A075B6Q5	IGHV3-64	Immunoglobulin heavy variable 3-64		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A075B6Q5	0.0261236527131099	northstar-vital	0.9620751246339172
A0A075B6R2	IGHV4-4	Immunoglobulin heavy variable 4-4		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A075B6R2	-0.554774262678672	northstar-vital	0.454760430702484
A0A0A0MS15	IGHV3-49	Immunoglobulin heavy variable 3-49		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0A0MS15	-0.357851823445085	northstar-vital	0.48384443753786
A0A0B4J1U7	IGHV6-1	Immunoglobulin heavy variable 6-1		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0B4J1U7	0.4915674956872379	northstar-vital	0.384742421990547
A0A0B4J1V0	IGHV3-15	Immunoglobulin heavy variable 3-15		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0B4J1V0	-0.345757845088185	northstar-vital	0.301293220276029
A0A0B4J1V2	IGHV2-26	Immunoglobulin heavy variable 2-26		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0B4J1V2	0.269646865033215	northstar-vital	0.299346242387618
A0A0B4J1X5	IGHV3-74	Immunoglobulin heavy variable 3-74		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0B4J1X5	-0.559545598995672	northstar-vital	0.48228792298008
A0A0B4J1Y8	IGLV9-49	Immunoglobulin lambda variable 9-49		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]		SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0B4J1Y8	0.62516249445202	northstar-vital	0.377393142101126
